RT	D	W	S	turns	Group
2	0.3	1	1	5	W1
2	0.3	100000	1	5	W2
2	0	2	1	5	D1
2	0.9	2	1	5	D2
2	0.3	2	0.1	5	S1
2	0.3	2	5	5	S2
0	0.3	2	1	5	RT1
35	0.3	2	1	1	RT2
0	0	3.2	1.3	2	nau
0	0.5	1.9	1	5	amm
12	0	1.2	0.8	10	tow
2	0	2	0.9	5	rom
0.2	0	10000	2	1	mus
0	0.9	10000	1	1	tus
